task,dataset,K,seed,ratio,eta_sel,eta_path_trimmed,viol_sign_pct,LK_eta_sel,LK_eta_path
E1,digits20,3,17,1.013605,1.48837,10.8505,10.00,0.532636,0.089359
E1,digits20,4,17,1.072727,1.48837,72.5431,11.94,0.520754,0.013714
E1,digits20,5,17,1.133333,1.48837,72.5431,15.66,0.513986,0.013709
E1,digits20,6,17,1.197605,1.48837,72.5431,17.53,0.509613,0.013706
E1,digits20,7,17,1.162651,1.48837,72.5431,18.18,0.506555,0.013704
E1,digits20,1,18,0.968085,1.04918,3.25653,0.00,0.953125,0.307075
E1,digits20,2,18,1.000000,1.17143,7.71638,2.94,0.671475,0.125396
E1,digits20,3,18,1.000000,1.17143,116.578,6.25,0.633788,0.008553
E1,digits20,4,18,0.982249,1.17143,116.578,9.38,0.617190,0.008550
E1,digits20,5,18,1.000000,1.17143,116.578,11.54,0.607829,0.008549
E1,digits20,6,18,0.960396,3.66667,116.578,17.20,0.243551,0.008547
E1,digits20,7,18,0.876190,3.66667,116.578,19.63,0.242841,0.008546
E1,digits20,1,19,0.956044,1.07018,12.4347,0.00,0.934426,0.080420
E1,digits20,2,19,0.922481,1.3125,12.4347,5.88,0.616780,0.078803
E1,digits20,3,19,0.968354,1.3125,12.4347,20.41,0.584786,0.078283
E1,digits20,4,19,0.962025,1.3125,37.7679,24.62,0.570544,0.026216
E1,digits20,5,19,1.035714,1.3125,37.7679,24.36,0.562474,0.026199
E1,digits20,6,19,0.936508,5,37.7679,27.96,0.184056,0.026187
E1,digits20,7,19,0.939086,5,50.7009,31.78,0.183651,0.019558
E1,digits20,1,20,1.000000,1,2.13148,0.00,1.000000,0.469158
E1,digits20,2,20,0.920290,1.40741,7.32951,6.06,0.584314,0.131781
E1,digits20,3,20,1.000000,1.40741,7.50957,12.24,0.555529,0.127340
E1,digits20,4,20,0.964286,3.66667,27.5122,21.54,0.246081,0.035855
E1,digits20,5,20,1.066298,3.66667,50.6536,26.58,0.244554,0.019587
E1,digits20,6,20,0.964467,3.66667,50.6536,28.72,0.243551,0.019580
E1,digits20,7,20,0.951691,3.66667,50.6536,28.97,0.242841,0.019576
E1,digits20,1,21,0.989583,1.01515,2.65179,0.00,0.985075,0.377104
E1,digits20,2,21,1.015267,1.01515,11.4674,15.15,0.742482,0.085303
